,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
0,"为探究色彩参数与苦菜长势的关系,选取苦菜叶片图像色彩参数指标R、G、B、R/(R+G+B)、G/(R+G+B)、B/(R+G+B)、R/G、R/B、G/B共9个指标与叶绿素含量进行相关性分析。结果表明:除G指标和R/B指标与叶绿素含量的相关性未达到显著性相关外,其余7个色彩参数指标与叶绿素含量均达到极显著性相关,其中G/(R+G+B)、B/(R+G+B)和G/B这三个指标与叶绿素含量的相关系数分别为:-0.829,0.831,-0.834,均达到0.8以上。选取相关性较优的7个色彩参数指标与叶绿素含量进行回归分析,发现苦菜叶片图像色彩参数B/(R+G+B)指标的线性模型(y=Ax+B)和G/B指标的模型(y=Alnx+B)拟合效果优于本研究构建的其他指标和模型,决定系数分别为0.6962和0.7185。本研究结果可为苦菜长势快速监测提供参考。","['刘子恒', '敏乾', '李海翼']",6,['园艺'],['2015年甘肃省高等学校科学研究项目(2015B-123)'],6,"['苦菜叶片', '图像色彩参数', '叶绿素含量', '回归模型']",3,['甘肃民族师范学院物理与水电工程系'],11-13+38,4,107K,数字图像技术在苦菜叶绿素含量测量中的应用,2017
1,"在采用传统固相烧结工艺制备0-3型x Ni0.7Zn0.3Fe2O4-（1-x）BaTiO3（x=0.00,0.15,0.30,0.45）多铁复合陶瓷靶材和采用PLD技术探索纯相BaTiO3薄膜溅射工艺的基础上,本文在不同激光能量条件下分别在Pt（111）/Ti/SiO2/Si、0.5%铌掺杂的钛酸锶（STO:0.5%Nb）和钌酸锶（SRO）衬底上制备了相应配比的0-3型xNi0.7Zn0.3Fe2O4-（1-x）BaTiO3（x=0.15,0.3,0.45）复合薄膜。然后详细研究了这些复合薄膜的极化行为和影响因素,以期获得更优化的PLD工艺参数。","['张荣芬', '郭凯鑫']",1,"['材料科学', '工业通用技术及设备', '电力工业']","['贵州科技厅与贵州大学联合基金项目资助(黔科合LH字[2014]7612)', '贵州大学人才引进项目资助([2014]30)']",6,"['脉冲激光沉积', '镍锌铁氧体-钛酸钡', '极化', '过程参数']",4,['贵州大学大数据与信息工程学院'],14-20,7,822K,PLD法制备0-3型xNZF-(1-x)BTO多铁复合薄膜及其极化行为研究（英文）,2017
2,"为深入研究胶磷矿-石英浮选分离机制,揭示胶磷矿、石英表面电子性质及与浮选药剂作用原理,采用Material Studio软件对氟磷灰石(001)面与石英(001)面电子性质及胺类捕收剂吸附作用进行研究。结果表明,氟磷灰石中氧原子及钙原子活性较大,同时表面Ca原子正电荷较大,Ca3d态在价带部分表现出较强的金属活性,导致其在参与化学反应时不易与阳离子捕收剂作用;而石英表面O原子负电荷较大,O2p态在费米能级处贡献最大,表面O原子活性较强,其在参与化学反应时易与阳离子捕收剂作用。两种矿物表面原子电荷及电子态密度差异是其与药剂相互作用差异的主要原因;胺类捕收剂对石英结合能力明显大于氟磷灰石,对石英结合能大小分别为醚胺类>多胺类>烷基伯胺类。","['王贤晨', '张覃', '陈建华', '谢俊', '谢飞', '李龙江']",13,['矿业工程'],['国家自然科学基金项目资助(51474078)'],6,"['氟磷灰石', '石英', '表面电子性质', '态密度', '胺类捕收剂']",5,"['贵州大学矿业学院', '喀斯特地区优势矿产资源高效利用国家地方联合工程实验室', '贵州省非金属矿产资源综合利用重点实验室', '广西大学资源与冶金学院']",21-28,8,347K,氟磷灰石与石英表面电子性质及胺类捕收剂吸附作用研究,2017
3,"为提高液压挖掘机的能量利用率,本文提出了一种新的动臂势能回收方法,把动臂下落时的回油腔通过回转马达连接到一个蓄能器,动臂下落时的势能转化为蓄能器的液压能,在动臂提升时蓄能器的液压能转化为动臂的势能。蓄能器的压力用来辅助驱动回转泵的转动,这样就可以减少回转马达功率的输入,通过调整马达的排量来控制动臂提升和下落的速度,利用两个液控单向阀来实现系统的保压。这种方法没有其他元件的能量转换回收效率高。通过仿真验证了这种方法的可行性,实现了动臂势能的回收,为动臂势能回收的实际应用提供了参考。","['贺福强', '杜希亮', '周金松', '解思状', '韩雄']",5,['建筑科学与工程'],['贵州省科技厅重大科技专项资助项目(黔科合重大专项字[2016]3014)'],6,"['势能回收', '节能回路', '液压蓄能器', '挖掘机动臂']",6,"['贵州大学机械工程学院', '贵州詹阳动力重工有限公司']",29-33,5,437K,液压挖掘机动臂势能再生系统的研究,2017
4,"为了解决小型折耳根收获机在振动挖掘铲上容易出现壅土的现象,设计出配套振动挖掘铲使用的辅助刨土机构。首先根据振动挖掘铲的工作状态、辅助刨土机构工作距离以及挖掘铲铲面上土壤的平均高度来确定辅助刨土机构运动轨迹的关键点,然后以辅助刨土机构的几何关系、约束条件、边界条件、实际运动轨迹与给定轨迹之间的误差建立数学模型,最后使用遗传模拟退火算法(GSA)对其进行优化。结果表明,辅助刨土机构的各杆长度和安装角度都满足设计要求,并且实际运动轨迹与给定运动轨迹误差较小。","['张奎', '尹健', '王泽宇', '殷彦强']",1,['农业工程'],['贵州省科技厅农业攻关项目(黔科合NZ字[2013]3059)'],6,"['小型折耳根收获机', '辅助刨土机构', '运动轨迹', '遗传模拟退火算法']",7,['贵州大学机械工程学院'],34-38,5,215K,小型折耳根收获机辅助刨土机构的优化设计,2017
5,"以集成经验模式分解(EEMD)与极限学习机(ELM)为理论基础,提出了将其有机结合进行短期电力负荷预测的方法。首先运用EEMD对短期负荷时间序列进行自适应分解,在此基础上针对分解后不同分量的变化特点,建立相对应的ELM模型进行预测,进而将各分量的预测结果重构以得到最终预测结果。通过实例分析表明该模型的预测精度要优于单极限学习机模型、单支持向量机模型和神经网络模型,同时也验证了该模型应用于短期负荷预测的有效性和可行性。",['张宁'],7,['电力工业'],['福建省中青年教师教育科研项目(JAT170437)'],6,"['集成经验模式分解', '极限学习机', '短期电力负荷预测', '支持向量机', '神经网络']",8,['闽江学院物理学与电子信息工程系'],39-42+48,5,251K,基于EEMD和极限学习机的短期电力负荷预测模型,2017
6,"模块化多电平换流器(Modular Multilevel Converter,MMC)的子模块是其核心部件。结合MMC在中压直流配电网领域的广阔前景,分析了MMC常见的半桥型、全桥型子模块结构。简化半桥型、全桥型、混合型三种子模块结构的MMC在直流侧双极短路故障时的等效电路,从理论上分析了三种子模块结构的MMC对直流侧双极短路故障的抑制能力。针对三种子模块结构MMC,分别通过基于PSCAD/EMTDC的两端MMC系统的仿真,验证了理论分析的正确性。得出在中压直流配电网中,混合型子模块结构MMC在技术上的可行性和经济上的优越性。为未来中压直流配电网中换流器子模块拓扑的选择提供参考。","['唐圣辉', '袁旭峰', '唐立', '李宁', '张天卫', '谈竹奎']",9,['电力工业'],"['国家自然科学基金(51667007)', '中国南方电网有限责任公司重点科技项目(GZKJQQ00000417)']",6,"['模块化多电平换流器', '半桥型子模块', '全桥型子模块', '混合型子模块', '直流故障']",9,"['贵州大学电气工程学院', '贵州电力科学研究院']",43-48,6,360K,不同子模块MMC在中压直流配电网中的应用研究,2017
7,"针对电力负荷预测粒子群优化最小二乘支持向量机(Least Squares Support Vector Machine,LSSVM)模型输入节点难以确定的问题,提出了一种基于数据分组处理方法(Group Method of Data Handling,GMDH)来优化PSO-LSSVM(Particle Swarm Optimization-Least Squares Support Vector Machine)的中长期电力负荷预测预测方法。该方法是首先利用GMDH算法获得LSSVM建模中的输入变量;然后利用基于自适应变异的PSO算法对LSSVM建模中的参数进行优化,选用某地区2008~2013年的历史数据作为模型的训练样本建立模型;最后使用训练好的GMDHPSO-LSSVM模型对2014、2015年的用电量进行外推预测。组合模型预测结果表明该方法达到了较高的预测精度,预测精度提高了2.21%。","['龙金莲', '卢家暄', '张玉分', '王家忠', '陶然']",4,"['电力工业', '自动化技术']",['国家自然科学基金项目(51567005)'],6,"['负荷预测', '数据分组处理方法', '粒子群算法', '最小二乘支持向量机']",10,"['贵州大学电气工程学院', '贵州大学大数据与信息工程学院', '云南省特种设备安全检测研究院']",49-53+84,6,201K,基于GMDH-PSO-LSSVM中长期电力负荷预测,2017
8,"不平衡数据广泛存在于现实世界中,严重影响了传统分类器的分类性能。本文提出了随机平衡采样算法(random balance sampling,RBS),并以此为基础提出了随机平衡采样bagging算法(RBSBagging)用于解决不平衡数据集的分类问题。最后,采用6组UCI数据集对提出的分类算法进行验证,结果表明本文提出的RBSBagging算法可以较好地解决不平衡数据集的分类问题。","['季梦遥', '袁磊']",7,['计算机软件及计算机应用'],['中央高校基本科研业务费专项资金资助(302-410500195)'],6,"['不平衡数据', '采样', 'bagging算法']",11,"['武汉大学人民医院消化内科', '武汉大学人民医院信息中心']",54-58,5,283K,不平衡数据的随机平衡采样bagging算法分类研究,2017
9,"本文阐述一种电梯门关门阻止力及动能检测装置的结构、硬件以及软件设计。该系统采用标准弹簧将电梯门的关门行程动能转换为弹性势能,同时采用位移传感器对弹簧形变量进行检测,并根据能量转换关系及胡克定律计算出电梯门的关门阻止力及动能,达到间接测量的目的。传感器输出信号经AD转换后送至CC2530处理器进行数据处理,进而通过ZigBee无线协议发送至上位机(工业平板电脑)进行数据分析和存储。系统性能可靠,数据科学,检验人员通过手持平板电脑即可实现智能检测,提高工作效率。经实际应用证明,该系统具有一定的推广应用价值。","['杨朝磊', '王民慧', '覃涛', '杨健晟']",5,"['建筑科学与工程', '自动化技术']",['国家质量监督检验检疫总局科技计划项目(2015QK196)'],6,"['电梯门', '关门阻止力', '关门行程动能', 'ZigBee', '智能检测']",12,['贵州大学电气工程学院'],59-63,5,608K,电梯门关门阻止力及动能无线检测系统设计,2017
